,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
number_of_reviews_ltm,0.04622766537708554,-0.32513472064963644,0.3789243376399472,-0.029650577574988093,-0.27876508415495116,0.21744993863069154,0.025583011194292685,-0.029560266010994457,0.01049382254597469,-0.04085478423562545,-0.11244423303258645,-0.05843972581074763,-0.01569985595365515,-0.015588413040195979,0.021956253438772607,0.06453646034430702,0.0508577286875104,0.012120676006601593,-0.027834609256534335,0.03684311230504725
number_of_reviews_l30d,0.02347112487051584,-0.2907880672722122,0.3143878543276175,-0.02227098653455944,-0.202748180209223,0.21001496170550868,0.010947944078689216,0.041626895837728974,0.07052555610699415,-0.05278825144635361,-0.05579690819166884,-0.019191200991700765,-0.02178392963023419,0.0321072113397899,0.42729620063543533,-0.41089258508246995,-0.2945951962916862,-0.2615710128458396,0.26109770704906665,-0.05142133027665622
price_clean,0.2809137721085546,0.13841572372766525,-0.15838206929354326,0.030088152977309986,-0.15460692058532563,-0.0907230031847672,0.04362203283529177,-0.15707644466066556,-0.12647815748005853,-0.09001741492086035,-0.193762743092801,0.04863653456864177,-0.0037288049920959016,0.0009293145233581782,0.4450257774140091,0.5549595516951005,0.06841242821200243,-0.43565683153696844,0.024412514172357697,-0.20780813647362004
dist_to_center,0.011915844483608396,0.06478031354975052,-0.09246459563281408,-5.808871215285414e-06,0.1340326161258466,0.24860515506460143,0.6471687550611037,0.11347624107387995,-0.07692939557065614,0.04286864737040072,-0.0619305143689825,-0.08574974175601217,-0.001628134484221427,0.010882249990878804,0.30144767510859855,-0.2243970290839092,0.5418961794140249,0.12302230506362141,-0.07519903834817411,-0.00039529161444599455
bathrooms_qty,0.32605242828149106,0.1403458091624831,-0.06877717593265169,0.017983571481769878,-0.21870324707517047,0.07786380832820926,0.026248892511144015,-0.02372877554317715,0.0066092472787531095,0.08257489648939505,0.017361242336461823,0.12319581866542992,-0.06238285374175844,0.17514351845406217,0.24095951359620765,0.005533381981700333,-0.32792095360717904,0.6443960174144345,-0.16965045350834126,-0.32360478117564656
instant_bookable_num,0.04338585771558735,-0.05145836024717401,0.07848009263001207,0.015913060703484368,-0.1921835302028064,-0.39712006877264033,0.1517088453788778,0.5826672254570012,0.2153348877970579,-0.021672022185773503,0.19244715661564354,-0.26924987488948454,0.1868913839817602,-0.41697321813596727,0.13791165028922608,0.1628028154948732,-0.07455255947099972,0.09776084823902,-0.045011852950785206,0.021303150170373597
has_ac,0.10870577704526836,-0.032380329741600905,0.052334726480013735,0.023331418019832986,-0.1565671034089128,-0.4328440720844815,0.26946098395541657,-0.01630960209452653,-0.12191229091989295,-0.3431489571784242,-0.4391900986838948,0.4939414708575517,0.0635281897807722,-0.1012854553695028,-0.21135710741621946,-0.25424505352138477,-0.030083873309650982,0.025053885229267978,-0.027723556871635725,0.026578526738944497
has_elevator,0.1525706726362976,0.01093424283348263,0.1573068398806295,-0.00815653091872529,0.1908117839400883,-0.19295594018341294,0.2417405178117485,0.023315560357296827,-0.2568478323927491,0.6031019284423257,-0.36295278873919273,-0.3164815025606795,-0.020928897714911465,0.10032492701260462,-0.1452552590137131,-0.015604673318474321,-0.31245469318490404,-0.13554083056013533,-0.07371460554661094,0.033165987761592304
has_dishwasher,0.3035777069716654,0.014946405083234832,0.11157102121527351,-0.022588781229731875,0.32866828600678494,0.026433412846780645,-0.13805222775626846,0.11741792759570065,0.12170466215989668,0.013399689958055088,-0.2223502044633889,0.09286299308297882,0.026598739059765154,-0.12499580859685851,0.006524817851422822,0.13135297343811564,0.17214900731266805,0.19521149101544555,0.5966528463853703,0.09040868411522657
has_parking,0.1463857093212873,-0.09387779549926839,0.1357972972993526,-0.02101493510766143,0.1583808824338765,-0.054400363481076165,0.20770304523707364,-0.4460167113683377,-0.3809486164067313,0.0366322932184093,0.5098496394587727,0.10245720342678472,0.17102819951930376,-0.4486713199276313,0.03549418600226291,-0.013405166674869814,-0.12789437257887734,0.03989095603959418,0.09749766087237816,-0.0034910031641626656
